,Municipio,UF,NomeEstacao,CodEstacao,Latitude,Longitude,Altitude,StatusEstacao
1033,Lauro De Freitas,BA,Açude Joanes I,50909000,-12.8358,-38.3242,0.0,Ativo
1034,Simões Filho,BA,Açude Ipitanga II Montante Mont.2,50912030,-12.8122,-38.3861,0.0,Ativo
1035,Simões Filho,BA,Açude Ipitanga II,50912100,-12.8592,-38.3972,0.0,Ativo
1036,Salvador,BA,Açude Ipitanga I,50912200,-12.8978,-38.3833,0.0,Ativo
1037,Salvador,BA,Açude Ipitanga I Jusante,50912250,-12.8978,-38.3828,0.0,Ativo
1038,Ibicoara,BA,Açude Apertado Montante,51105400,-13.4361,-41.3361,0.0,Ativo
1039,Mucugê,BA,Açude Apertado,51105500,-13.0758,-41.4397,0.0,Ativo
1040,Mucugê,BA,Açude Apertado Jusante,51105600,-13.0194,-41.4322,0.0,Ativo
1041,Ibicoara,BA,Ibicoara,51107000,-13.27,-41.3361,0.0,Ativo
1042,Mucugê,BA,Usina Mucugê,51108000,-12.9986,-41.3906,870.0,Ativo
1043,Andaraí,BA,Andaraí,51120000,-12.8406,-41.3222,328.0,Ativo
1044,Itaeté,BA,Açude Bandeira De Melo,51124500,-13.0317,-40.8169,0.0,Ativo
1045,Itaeté,BA,Açude Bandeira De Melo Jusante,51124600,-13.0403,-40.7772,0.0,Ativo
1046,Itaeté,BA,Açude Bandeira De Melo Jusante,51124600,-13.0403,-40.7772,0.0,Ativo
1047,Utinga,BA,Fazenda Terra Grapiuna,51151000,-12.1797,-41.1492,0.0,Ativo
1048,Andaraí,BA,Br-242 (Utinga),51172000,-12.5047,-41.2072,0.0,Ativo
1049,Lençóis,BA,Santo Antônio/Porto,51193000,-12.4892,-41.3289,0.0,Ativo
1050,Itaeté,BA,Fazenda Iguaçu,51230000,-12.9361,-41.0644,300.0,Ativo
1051,Itaeté,BA,Fazenda Iguaçu,51230001,-12.9361,-41.0644,0.0,Manutenção
1052,Iaçu,BA,Iaçu,51280000,-12.7622,-40.2136,222.0,Ativo
1053,Itaberaba,BA,Açude Juracy Magalhães Montante,51282000,-12.5331,-40.3475,0.0,Ativo
1054,Itaberaba,BA,Açude Juracy Magalhães,51283000,-12.5356,-40.3164,0.0,Ativo
1055,Itaberaba,BA,Açude Juracy Magalhães Jusante,51285000,-12.5633,-40.2231,0.0,Ativo
1056,Morro Do Chapéu,BA,Morro Do Chapéu,51397000,-11.5853,-40.8794,0.0,Ativo
1057,Mairi (Ex-Monte Alegre Da Ba),BA,Açude São José Do Jacuípe Montante,51417900,-11.6083,-40.2978,0.0,Ativo
1058,São José Do Jacuipe,BA,Açude São José Do Jacuípe,51418000,-11.5208,-40.0447,0.0,Ativo
1059,São José Do Jacuipe,BA,Açude São José Do Jacuípe Jusante,51418100,-11.5089,-40.0242,0.0,Ativo
1060,Valente,BA,Açude Valente,51432200,-11.4194,-39.4725,0.0,Ativo
1061,São Domingos,BA,Açude São Domingos,51435000,-11.4667,-39.5219,0.0,Ativo
1062,Morro Do Chapéu,BA,Açude França  Montante Faz. Caraibas,51460130,-11.5681,-40.7172,0.0,Ativo
1063,Feira De Santana,BA,Feira De Santana,51460150,-12.2856,-39.0011,0.0,Ativo
1064,Miguel Calmon,BA,Açude França - Captação Embasa,51460200,-11.5608,-40.6039,0.0,Ativo
1065,Piritiba,BA,Açude França Jusante,51460550,-11.5581,-40.5872,0.0,Ativo
1066,Nazaré,BA,Nazaré,51560000,-13.0308,-39.0322,29.0,Ativo
1067,Santo Antônio De Jesus,BA,Açude Rio Da Dona,51750500,-13.0594,-39.2819,0.0,Ativo
1068,Santo Antônio De Jesus,BA,Açude Rio Da Dona Jusante,51750600,-13.0589,-39.2628,0.0,Ativo
1069,Jaguaripe,BA,Açude Tapera,51750800,-12.9872,-38.8231,0.0,Ativo
1070,Valença,BA,PCH Candengo Rio Piau,51790000,-13.3419,-39.2169,133.0,Ativo
1071,Valença,BA,PCH Candengo Montante,51793900,-13.3433,-39.1289,94.0,Ativo
1072,Valença,BA,PCH Candengo Barramento,51794000,-13.3461,-39.1031,60.5,Ativo
1073,Valença,BA,PCH Candengo Jusante,51794100,-13.3511,-39.0886,12.63,Ativo
1074,Nilo Peçanha,BA,Nilo Peçanha,51890000,-13.5967,-39.1203,6.0,Ativo
1075,Brumado,BA,Açude Cristalândia,52059000,-13.9617,-41.4731,0.0,Ativo
1076,Ituaçu,BA,Açude Cristalândia Montante,52060000,-13.9069,-41.5003,396.0,Ativo
1077,Ituaçu,BA,Açude Cristalândia Jusante,52060100,-13.9603,-41.4703,0.0,Ativo
1078,Contendas Do Sincora,BA,UHE Pedra Montante 2,52080120,-14.0306,-40.9817,0.0,Ativo
1079,Rio De Contas,BA,Açude Luiz Vieira Montante,52120900,-13.4947,-41.8772,0.0,Ativo
1080,Rio De Contas,BA,Açude Luiz Vieira (Brumado),52130000,-13.5692,-41.8206,0.0,Ativo
1081,Rio De Contas,BA,Açude Luiz Vieira (Brumado),52130000,-13.56805,-41.82333,0.0,Ativo
1082,Rio De Contas,BA,Açude Luiz Vieira Jusante,52130100,-13.5736,-41.8233,0.0,Ativo
1083,Livramento De Nossa Senhora,BA,Açude Riacho Do Paulo Montante,52138000,-13.7617,-41.9017,468.0,Ativo
1084,Livramento De Nossa Senhora,BA,Açude Riacho Do Paulo,52140000,-13.7586,-41.805,0.0,Ativo
1085,Livramento De Nossa Senhora,BA,Açude Riacho Do Paulo Jusante,52150000,-13.7603,-41.7992,0.0,Ativo
1086,Caculé,BA,Açude Truvisco - Jusante 1,52230020,-14.5447,-42.3192,0.0,Ativo
1087,Aracatú,BA,Açude Aracatu Montante,52249800,-14.4725,-41.5122,0.0,Ativo
1088,Aracatú,BA,Açude  Aracatu,52255000,-14.4494,-41.53,0.0,Ativo
